PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,y
-4.529980095003004,1.03628263591203,-0.15183925035589102,-0.007444495933920162,0.00019876793698097152,-4.1940392793689056e-07,-5.481647789580716e-09,8.016778306965497e-13,0.974916288
-3.2844569711960365,0.2185419384436199,0.1093450407080167,0.01745260379754163,-0.0009581619912460452,3.871487603101016e-06,8.369122988938542e-08,-1.7463291404458808e-11,0.879902402
-2.2772662391122696,-0.2389926618125884,0.13311652518266553,0.002203890397145536,0.0009237553018565973,-9.630318112437116e-06,-3.706990065812322e-07,1.1308400140931943e-10,0.60259774
-1.352922526302643,-0.49949361843467976,0.07756800136562464,-0.009305899509885154,0.00058646774848099,5.413955736473991e-06,6.324968620803717e-07,-3.2713659150733455e-10,0.247087822
-0.4548733806544284,-0.608849186841488,-0.00017618331165841788,-0.010974901083643908,-0.00033778987325390713,6.363738445193127e-06,-2.2664985194900372e-07,4.458977615058836e-10,1.116373478
0.44664369485201594,-0.5818749251154357,-0.06874207769334936,-0.004869758154564854,-0.0007398983606665194,-2.3834254178524977e-06,-4.7350448438907914e-07,-1.604422405379451e-10,0.65306042
1.3708523995338264,-0.42134637943431635,-0.10645968186394628,0.004283742600140322,-0.0003577591353088802,-6.897718229982167e-06,2.5887171593001244e-07,-3.218082109273176e-10,0.794016193
2.33192700476213,-0.12433648575007766,-0.09615326190851724,0.010691375929239124,0.00042513294649278274,-9.202765052128404e-07,4.821393260075811e-07,4.615000697153042e-10,0.956404989
3.3412994329945414,0.315150845351304,-0.02302123145259464,0.008070157130263928,0.0007659955817983133,7.979842203984134e-06,-5.339079034453771e-07,-2.4157145308091595e-10,0.462771865
4.408776680125868,0.9049178376816318,0.12636211932965052,-0.010106715172317237,-0.0005065101551351373,-3.377881796044998e-06,1.530437608349621e-07,4.713852949920564e-11,0.518899234
