1,x1,x1^2,x1^3,x1^4,x1^5,x1^6,x1^7,x1^8,x1^9,x1^10,y
1.0,7.614285714,57.977346934424496,441.4560844984101,3361.3727575546213,25594.452567276938,194883.4745406674,1483898.4560896866,11298826.815230357,86032495.60416862,655076002.218589,0.009195069
1.0,7.621428571,58.0861734628551,442.6996220098659,3374.0035475568925,25714.727036005457,195982.95532767815,1493670.095163383,11383899.938926497,86761580.24393956,661247186.5362701,-0.25207677
1.0,7.628571429,58.1951020473551,443.9454927861925,3386.6699023020738,25835.453256155823,197087.60056517532,1503496.8386816606,11469533.027158737,87496151.95495503,667470644.9510124,-0.028840298
1.0,7.642857143,58.413265308306116,446.44424200754145,3412.1095639785585,26078.26595375214,199312.46122168822,1523316.6679370902,11642491.676593948,88981900.67277409,680075955.1546279,0.160705351
1.0,7.65,58.52250000000001,447.6971250000001,3424.883006250001,26200.35499781251,200432.7157332657,1533310.2753594827,11729823.606500043,89733150.58972533,686458602.0113988,0.283055485
1.0,7.657142857,58.63183673250612,448.9523498290995,3437.6922786272544,26322.900875854735,201558.21241707014,1543360.0264790575,11817728.202533446,90490033.09199643,692895110.5200741,0.373958604
1.0,7.664285714,58.74127550582449,450.20991868142875,3450.537448051176,26445.904868720645,202688.97087913868,1553466.1838943446,11906208.680403523,91252585.09711951,699385884.3254224,0.504082461
1.0,7.671428571,58.8508163199551,451.4698337435766,3463.4185815250935,26569.368259643896,203825.01078045272,1563629.011185548,11995268.270853292,92020843.7298337,705931329.7165725,0.981881365
1.0,7.678571429,58.9604591902551,452.7320973790133,3476.335747925737,26693.29235163391,204966.35199720037,1573848.7743520597,12084910.232306393,92794846.43181762,712531856.5697974,0.945718197
1.0,7.685714286,59.07020408602448,453.9967114208939,3489.2890107645835,26817.678398016167,206113.01398098643,1584125.736084185,12175137.800642487,93574630.52841657,719187874.659423,1.193355286
1.0,7.714285714,59.510204077224486,459.0787171501574,3541.464389312906,27319.868145116285,210753.26854023422,1625810.9286787345,12541970.020771435,96752340.15665336,746375195.4665395,0.841705439
1.0,7.721428571,59.620459177055096,460.35511690585236,3554.5991524828933,27446.583454433796,211926.83366140097,1636377.908394706,12635175.134832103,97561602.28568137,753314943.3211989,1.05330658
1.0,7.728571429,59.7308163331551,461.633880543269,3567.7704198251076,27573.76853189166,213105.83966543715,1647003.7037913525,12728985.768579025,98376875.73118745,760312711.0503387,0.867498092
1.0,7.742857143,59.951836736906124,464.1985073143234,3594.222728128647,27829.55312402384,215480.25419284598,1668432.8253525333,12918437.019396534,100025612.35203008,774484027.0828652,0.839015498
1.0,7.75,60.0625,465.484375,3607.50390625,27958.1552734375,216675.70336914062,1679236.7011108398,13014084.433609009,100859154.36046982,781658446.2936411,1.670234388
1.0,7.757142857,60.17326530390612,466.7726151345613,3620.8218573342724,28087.232407090025,217876.6742395573,1690100.4872842978,13110350.92254961,101698865.01161906,788892624.289888,1.185405807
1.0,7.778571429,60.50617347605511,470.6515922789599,3660.9970287144747,28477.326889212305,221512.9213147203,1723054.0808930085,13402899.244256211,104255409.12713706,810958146.7550542,1.589333747
1.0,7.785714286,60.61734694322449,471.9493440752814,3674.462750435248,28608.317129438565,222736.18337308834,1734160.2848969696,13501676.504336167,105120195.64476064,818435808.9785279,1.873239499
1.0,7.792857143,60.72862245120612,473.2494792534318,3687.9655848211364,28739.788950811566,223965.0696136444,1745327.7925211808,13601090.154825106,105991352.5656158,825975468.9371905,1.123150858
1.0,7.8,60.839999999999996,474.55199999999996,3701.5055999999995,28871.743679999996,225199.60070399995,1756556.8854911996,13701143.706831357,106868920.91328458,833577583.1236198,1.421181103
1.0,7.814285714,61.063061220024494,477.1642069447448,3728.697445560459,29137.107180671388,227685.68038920726,1779200.9595477523,13903184.640529092,108643457.11559072,848971014.8579322,1.448038986
1.0,7.821428571,61.1747448912551,478.47389751609893,3742.3494125101424,29270.518617671893,228937.27060424638,1790616.5092708112,14005179.12531501,109540508.15271161,856763260.147477,1.666332178
1.0,7.828571429,61.286530618955105,479.78598258608565,3756.0388353081216,29404.418312307596,230194.58908609566,1802094.7832298037,14107827.732342789,110444137.11067262,864619816.2851703,1.26122736
1.0,7.842857143,61.51040816550612,482.4173440496852,3783.530312687162,29673.687738615532,232726.49383995234,1825240.6445780157,14315101.627022615,112271297.04826523,880527744.0088618,2.036391796
1.0,7.85,61.622499999999995,483.73662499999995,3797.3325062499994,29809.060174062495,234001.12236639057,1836908.8105761658,14419734.1630229,113194913.17972976,888580068.4608786,1.99432129
1.0,7.871428571,61.959387748355105,487.7088949640697,3838.9657301510165,30218.144531400587,237859.96622707398,1872297.7340568851,14737657.877273925,116006421.28479718,913136258.9206151,1.985875858
1.0,7.892857143,62.297193879806116,491.7028517030836,3880.9403652981528,30631.707883800555,241771.69437294462,1908269.4449067088,15061698.119000562,118879831.58426324,938301527.878489,2.288140936
1.0,7.9,62.410000000000004,493.03900000000004,3895.0081000000005,30770.563990000006,243087.45552100005,1920390.8986159004,15171088.099065615,119851595.98261836,946827608.2626851,1.978106673
1.0,7.914285714,62.63591836282449,495.71855388217216,3923.2582691544144,31049.78687190115,245736.88466303202,1944831.9156915,15391955.446488492,121816333.10066837,964089264.790485,2.320791279
1.0,7.921428571,62.7490306054551,497.0619638406054,3937.4408419243405,31190.156381841764,247070.59589707933,1957152.0773931195,15503440.383653859,122809395.60387087,972825855.1237445,2.60430758
1.0,7.928571429,62.8622449047551,498.4077989146421,3951.6618344654084,31331.033117812163,248410.3340189383,1969539.0769709009,15615631.253970517,123809647.80603008,981633636.2294426,2.767478952
1.0,7.935714286,62.975561229024485,499.7560609140373,3965.921312110612,31472.418413668045,249756.12042031495,1981993.2128354297,15728531.853853157,124817134.93042855,990513120.8049914,2.395758636
1.0,7.942857143,63.08897959410613,501.10675221362715,3980.2193462255395,31614.313664874317,251107.97711408947,1994514.7896849262,15842146.044068059,125831902.86657518,999464828.5010589,2.436146866
1.0,7.95,63.2025,502.459875,3994.5560062500003,31756.720249687503,252465.92598501567,2007104.1115808745,15956477.687067952,126853997.61219022,1008489281.0169122,2.575142645
